Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
a/c,N,3,"['a', '/', 'c']",2,0.0,668.04,0.77
aband,N,5,"['a', 'b', 'and']",2,0.4,706.5,0.92
abayed,N,6,"['a', 'b', 'a', 'y', 'ed']",4,0.17,689.94,0.87
abbear,N,6,"['a', 'b', 'bear']",2,0.5,560.58,0.95
abbears,N,7,"['a', 'b', 'bear', 's']",3,0.43,611.41,0.98
abbens,N,6,"['a', 'b', 'be', 'n', 's']",4,0.17,598.29,1.0
abchaim,N,7,"['a', 'b', 'ch', 'a', 'im']",4,0.29,591.76,1.0
abects,N,6,"['a', 'be', 'c', 't', 's']",4,0.17,635.21,0.98
abeme,N,5,"['a', 'be', 'me']",2,0.4,591.06,0.95
abents,N,6,"['a', 'b', 'ent', 's']",3,0.33,690.26,0.98
abests,N,6,"['a', 'best', 's']",2,0.5,640.55,0.89
abik,N,4,"['a', 'b', 'ik']",2,0.25,518.63,1.0
ablobs,N,6,"['a', 'b', 'l', 'o', 'b', 's']",5,0.0,585.68,1.0
abme,N,4,"['a', 'b', 'me']",2,0.25,532.0,1.0
abne,N,4,"['a', 'b', 'n', 'e']",3,0.0,559.13,0.98
abone,N,5,"['a', 'b', 'one']",2,0.4,702.03,0.87
abones,N,6,"['a', 'b', 'one', 's']",3,0.33,666.15,0.95
abow,N,4,"['a', 'bow']",1,0.5,699.42,0.89
abran,N,5,"['a', 'bra', 'n']",2,0.4,579.66,1.0
abrass,N,6,"['a', 'bra', 's', 's']",3,0.33,660.74,0.92
abrast,N,6,"['a', 'bra', 's', 't']",3,0.33,677.92,0.92
abre,N,4,"['a', 'b', 're']",2,0.25,671.21,1.0
abreeves,N,8,"['a', 'b', 're', 'e', 'ves']",4,0.38,666.39,0.8
abroths,N,7,"['a', 'bro', 'th', 's']",3,0.43,606.58,0.98
abrush,N,6,"['a', 'b', 'rush']",2,0.5,746.56,0.74
abscrict,N,8,"['a', 'b', 's', 'c', 'ric', 't']",5,0.25,771.29,0.97
abscue,N,6,"['a', 'b', 's', 'cu', 'e']",4,0.17,717.69,0.79
abscued,N,7,"['a', 'b', 's', 'cu', 'ed']",4,0.29,795.59,0.9
abscusts,N,8,"['a', 'b', 's', 'cu', 's', 't', 's']",6,0.12,663.85,0.92
absians,N,7,"['a', 'b', 's', 'ians']",3,0.43,697.26,0.92
absidge,N,7,"['a', 'b', 's', 'i', 'd', 'ge']",5,0.14,633.26,1.0
absigned,N,8,"['a', 'b', 'sign', 'ed']",3,0.5,722.43,0.79
absincts,N,8,"['a', 'b', 's', 'in', 'c', 't', 's']",6,0.12,732.5,0.7
absipsed,N,8,"['a', 'b', 's', 'i', 'p', 's', 'ed']",6,0.12,567.32,0.97
absirl,N,6,"['a', 'b', 's', 'i', 'r', 'l']",5,0.0,571.71,0.98
abslete,N,7,"['a', 'b', 's', 'let', 'e']",4,0.29,671.5,0.85
absletes,N,8,"['a', 'b', 's', 'let', 'e', 's']",5,0.25,648.28,0.98
absord,N,6,"['a', 'b', 's', 'or', 'd']",4,0.17,777.93,0.79
absords,N,7,"['a', 'b', 's', 'or', 'd', 's']",5,0.14,893.5,0.66
absost,N,6,"['a', 'b', 's', 'o', 's', 't']",5,0.0,689.86,0.97
absosts,N,7,"['a', 'b', 's', 'o', 's', 't', 's']",6,0.0,612.73,1.0
absount,N,7,"['a', 'b', 's', 'o', 'un', 't']",5,0.14,662.05,0.98
absounts,N,8,"['a', 'b', 's', 'o', 'un', 't', 's']",6,0.12,741.0,0.98
abstrade,N,8,"['a', 'b', 's', 'trade']",3,0.5,733.34,0.95
abstrides,N,9,"['a', 'b', 's', 't', 'ride', 's']",5,0.33,749.09,0.85
abstuened,N,9,"['a', 'b', 's', 't', 'u', 'e', 'n', 'ed']",7,0.11,652.59,1.0
abstuent,N,8,"['a', 'b', 's', 't', 'u', 'ent']",5,0.25,701.29,0.92
absuse,N,6,"['a', 'b', 's', 'use']",3,0.33,838.12,0.45
absused,N,7,"['a', 'b', 's', 'us', 'ed']",4,0.29,937.69,0.34
abud,N,4,"['a', 'bu', 'd']",2,0.25,630.39,1.0
abusts,N,6,"['a', 'bus', 't', 's']",3,0.33,706.24,0.85
abvid,N,5,"['a', 'b', 'vi', 'd']",3,0.2,604.72,1.0
abwipt,N,6,"['a', 'b', 'w', 'i', 'p', 't']",5,0.0,539.98,1.0
acaned,N,6,"['a', 'can', 'ed']",2,0.5,585.1,0.98
acax,N,4,"['a', 'c', 'ax']",2,0.25,516.16,1.0
accar,N,5,"['a', 'c', 'car']",2,0.4,635.34,0.98
accars,N,6,"['a', 'c', 'car', 's']",3,0.33,583.26,0.95
acclo,N,5,"['a', 'c', 'c', 'l', 'o']",4,0.0,581.68,1.0
accrieve,N,8,"['a', 'c', 'c', 'rie', 've']",4,0.38,637.29,0.92
accrieved,N,9,"['a', 'c', 'c', 'rie', 've', 'd']",5,0.33,680.18,0.88
accrond,N,7,"['a', 'c', 'cro', 'n', 'd']",4,0.29,632.47,0.98
accubes,N,7,"['a', 'c', 'cu', 'be', 's']",4,0.29,589.63,0.95
accult,N,6,"['a', 'c', 'cul', 't']",3,0.33,808.74,0.74
accune,N,6,"['a', 'c', 'c', 'un', 'e']",4,0.17,726.62,1.0
accurd,N,6,"['a', 'c', 'cur', 'd']",3,0.33,667.48,0.82
accures,N,7,"['a', 'c', 'cur', 'e', 's']",4,0.29,806.89,0.53
accusts,N,7,"['accus', 't', 's']",2,0.57,701.68,0.88
aced,N,4,"['a', 'c', 'ed']",2,0.25,515.0,0.03
achens,N,6,"['a', 'che', 'n', 's']",3,0.33,662.46,0.95
achms,N,5,"['ach', 'm', 's']",2,0.4,585.37,1.0
achop,N,5,"['a', 'cho', 'p']",2,0.4,585.39,0.95
aciss,N,5,"['a', 'c', 'is', 's']",3,0.2,574.51,1.0
acive,N,5,"['a', 'c', 'ive']",2,0.4,636.42,0.95
acks,N,4,"['a', 'ck', 's']",2,0.25,597.64,1.0
acloot,N,6,"['a', 'c', 'loot']",2,0.5,534.54,0.97
acnant,N,6,"['a', 'c', 'n', 'an', 't']",4,0.17,544.28,1.0
acone,N,5,"['a', 'con', 'e']",2,0.4,661.72,0.97
